Request, Response Time [s] 
3, 0
2, 2
8, 0
7, 2
1, 7
6, 6
12, 5
13, 2
11, 7
5, 12
10, 12
4, 16
18, 7
17, 10
9, 16
16, 11
22, 10
23, 9
15, 15
21, 14
14, 18
27, 12
28, 11
20, 19
26, 16
19, 23
25, 21
32, 17
33, 16
24, 24
31, 21
37, 20
30, 23
38, 20
36, 23
29, 27
35, 26
42, 23
43, 23
34, 31
41, 27
40, 30
47, 27
48, 27
39, 36
46, 32
45, 33
53, 30
52, 31
44, 38
51, 35
50, 37
58, 33
57, 34
49, 40
56, 37
55, 39
63, 37
62, 37
54, 43
61, 41
60, 43
67, 40
68, 40
59, 46
66, 43
65, 45
72, 41
73, 41
64, 48
71, 45
70, 47
77, 44
78, 39
69, 52
76, 48
75, 50
83, 41
82, 43
74, 54
81, 48
80, 49
88, 44
87, 45
79, 53
86, 49
85, 51
92, 49
93, 49
84, 56
91, 53
90, 55
97, 51
98, 51
89, 58
96, 55
95, 57
94, 61
100, 58
99, 60
